location,timestamp,rssi_Rafi's Network 4G_19:3b,rssi_Rafi's Network 5G_19:37
room,2026-06-29 00:24:32.976199,-65.0,
room,2026-06-29 00:24:40.703526,-64.0,
room,2026-06-29 00:24:47.094562,-64.0,
room,2026-06-29 00:24:59.203548,-64.0,
room,2026-06-29 00:25:04.758260,-64.0,
room,2026-06-29 00:25:10.014819,-64.0,
table,2026-06-29 00:27:08.071963,-55.0,
table,2026-06-29 00:27:16.727302,-54.5,
table,2026-06-29 00:27:24.166255,-52.0,
table,2026-06-29 00:27:27.999328,-52.0,
table,2026-06-29 00:27:31.967314,-52.0,
step,2026-06-29 00:27:48.719509,-52.5,
step,2026-06-29 00:27:55.310893,-56.0,
step,2026-06-29 00:28:01.299648,-55.5,
step,2026-06-29 00:28:05.922063,-55.0,-64.0
kitchen,2026-06-29 00:28:33.416296,-56.0,-64.0
kitchen,2026-06-29 00:28:38.794113,-58.5,-64.0
kitchen,2026-06-29 00:28:43.972329,-58.5,-64.0
kitchen,2026-06-29 00:28:48.515123,-58.5,-64.0
kitchen,2026-06-29 00:28:52.702152,-57.5,-64.0
